zone,complex,dong,line,ho,floor,excelRow,price,expectedPrice,difference,absDifference,lowFloor,lowPrice,peakFloor,topFloor
2구역,신현대,102,1,1101,11,1411,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,102,1,1201,12,1419,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,102,2,202,2,1340,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,102,2,302,3,1348,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,102,2,402,4,1356,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,102,2,502,5,1364,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,102,2,602,6,1372,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,102,2,702,7,1380,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,102,2,802,8,1388,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,102,2,902,9,1396,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,102,2,1002,10,1404,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
2구역,신현대,102,2,1102,11,1412,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,102,2,1202,12,1420,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,102,3,203,2,1341,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,102,3,303,3,1349,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,102,3,403,4,1357,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,102,3,503,5,1365,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,102,3,603,6,1373,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,102,3,703,7,1381,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,102,3,803,8,1389,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,102,3,903,9,1397,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,102,3,1003,10,1405,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
2구역,신현대,102,3,1103,11,1413,47.13,47.190000000000005,-0.060000000000002274,0.060000000000002274,1,42.9,11,12
2구역,신현대,102,3,1203,12,1421,46.5,46.761,-0.2610000000000028,0.2610000000000028,1,42.9,11,12
2구역,신현대,102,4,204,2,1342,43.89,43.329,0.5609999999999999,0.5609999999999999,1,42.9,11,12
2구역,신현대,102,4,304,3,1350,45.03,43.758,1.2719999999999985,1.2719999999999985,1,42.9,11,12
2구역,신현대,102,4,404,4,1358,45.76,44.187,1.5730000000000004,1.5730000000000004,1,42.9,11,12
2구역,신현대,102,4,504,5,1366,45.76,44.616,1.1439999999999984,1.1439999999999984,1,42.9,11,12
2구역,신현대,102,4,604,6,1374,46.5,45.045,1.4549999999999983,1.4549999999999983,1,42.9,11,12
2구역,신현대,102,4,704,7,1382,47.13,45.474000000000004,1.6559999999999988,1.6559999999999988,1,42.9,11,12
2구역,신현대,102,4,804,8,1390,47.13,45.903000000000006,1.2269999999999968,1.2269999999999968,1,42.9,11,12
2구역,신현대,102,4,904,9,1398,47.13,46.332,0.7980000000000018,0.7980000000000018,1,42.9,11,12
2구역,신현대,102,4,1004,10,1406,47.13,46.761,0.3689999999999998,0.3689999999999998,1,42.9,11,12
