구역,단지명,동,호,원본공시가격_2026_억,순위기준가격_2026_억,저층기준층,최고가격층,최고층,보정기준
2구역,신현대,102,902,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,102,903,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,102,904,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,102,905,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,102,906,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,102,907,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,102,908,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,102,1001,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1002,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1003,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1004,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1005,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1006,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1007,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1008,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1101,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,102,1102,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,102,1103,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,102,1104,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,102,1105,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,102,1106,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,102,1107,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,102,1108,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,102,1201,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1202,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1203,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1204,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1205,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1206,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1207,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,102,1208,46.500000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,101,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,103,102,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,103,103,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,103,104,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,103,105,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,103,106,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,103,107,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,103,108,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,103,201,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,103,202,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,103,203,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,103,204,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,103,205,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,103,206,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,103,207,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,103,208,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,103,301,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,103,302,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,103,303,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,103,304,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,103,305,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,103,306,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,103,307,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,103,308,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,103,401,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,103,402,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,103,403,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,103,404,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,103,405,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,103,406,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,103,407,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,103,408,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,103,501,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,103,502,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,103,503,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,103,504,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,103,505,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,103,506,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,103,507,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,103,508,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,103,601,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,103,602,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,103,603,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,103,604,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,103,605,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,103,606,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,103,607,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,103,608,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,103,701,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,103,702,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,103,703,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,103,704,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,103,705,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,103,706,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,103,707,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,103,708,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,103,801,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,103,802,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,103,803,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,103,804,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,103,805,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,103,806,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,103,807,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,103,808,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,103,901,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,103,902,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,103,903,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,103,904,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,103,905,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,103,906,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,103,907,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,103,908,47.130000,46.332000,1,11,12,12층 10% 보정
2구역,신현대,103,1001,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1002,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1003,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1004,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1005,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1006,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1007,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1008,47.130000,46.761000,1,11,12,12층 10% 보정
2구역,신현대,103,1101,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,103,1102,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,103,1103,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,103,1104,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,103,1105,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,103,1106,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,103,1107,47.130000,47.190000,1,11,12,12층 10% 보정
2구역,신현대,103,1108,47.130000,47.190000,1,11,12,12층 10% 보정
